,Mountain,Metres,Feet,Range,Location,Note,latlng
1174,Mount Aix,2367.0,7766,,"Washington, US",", Washington, US","[46.79484000000008, -121.25619999999998]"
1175,Mount Karthala,2361.0,7746,,"Comoros, Indian Ocean",", Comoros, Indian Ocean","[-11.760279999999966, 43.35306000000003]"
1176,Totapala Kanda,2357.0,7733,,Sri Lanka,", Sri Lanka","[33.77597619000005, 130.98050676000003]"
1177,Signal Mountain,2353.0,7720,,"Wyoming, US",", Wyoming, US","[35.121926, -85.344168]"
1178,Mount Pico,2351.0,7713,,"Azores, Portugal – Highest in Portugal",", Azores, Portugal – Highest in Portugal","[38.46864000000005, -28.399229999999932]"
1179,Grimming,2351.0,7713,,"Styria, Austria – Highest Monolith in Europe",", Styria, Austria – Highest Monolith in Europe","[48.8237705, 13.0027221]"
1180,Monte Sirente,2347.0,7700,,Abruzzo Italy,", Abruzzo Italy","[42.150000000000034, 13.600000000000023]"
1181,Mount Blum,2340.0,7677,,North Cascades,", North Cascades","[48.75401000000005, -121.48151999999999]"
1182,Mount Popomanaseu,2335.0,7661,,"Guadalcanal, Solomon Islands – Highest in Solomon Islands",", Guadalcanal, Solomon Islands – Highest in Solomon Islands","[-9.70345999999995, 160.0619700000001]"
1183,Monte Priora,2333.0,7654,,Marche Italy,", Marche Italy","[42.93220000000008, 13.241270000000043]"
1184,Mount Prophet,2330.0,7644,,North Cascades,", North Cascades","[48.84874000000008, -121.16262999999998]"
1185,Mount Griggs,2317.0,7602,,"Alaska, US",", Alaska, US","[58.35472000000004, -155.09305999999998]"
1186,Mount Makarakomburu,2310.0,7579,,"Guadalcanal, Solomon Islands",", Guadalcanal, Solomon Islands","[-9.714979999999969, 160.03209000000004]"
1187,Lalla Khedidja,2308.0,7572,,"Djurdjura Mountains, Algeria",", Djurdjura Mountains, Algeria","[36.44786000000005, 4.227990000000034]"
1188,Lavender Peak,2306.0,7566,,"British Columbia, Canada",", British Columbia, Canada","[37.441670000000045, -108.08027999999996]"
1189,Pietrosul Rodnei Peak,2303.0,7556,,"Rodnei Mountains, Romanian Carpathian Mountains, Romania",", Rodnei Mountains, Romanian Carpathian Mountains, Romania","[47.59692000000007, 24.63414000000006]"
1190,Mount Sir Allan MacNab,2297.0,7536,,"Premier Range, British Columbia, Canada",", Premier Range, British Columbia, Canada","[52.51667000000003, -119.20246999999995]"
1191,Murree,2291.0,7516,,"Rawalpindi, Pakistan",", Rawalpindi, Pakistan","[33.9065285, 73.393692]"
1192,Kozi Wierch,2291.0,7516,,"Tatras, Poland",", Tatras, Poland","[49.21825000000007, 20.02860000000004]"
1193,Cherni Vrah,2290.0,7513,,"Vitosha Mountain, Bulgaria",", Vitosha Mountain, Bulgaria","[42.4456802, 27.3404221]"
1194,Druesberg,2282.0,7487,,"Alps, Switzerland",", Alps, Switzerland","[47.00425000000007, 8.833690000000047]"
1195,Ineu Peak,2279.0,7477,,"Rodnei Mountains, Romanian Carpathian Mountains, Romania",", Rodnei Mountains, Romanian Carpathian Mountains, Romania","[47.52548000000007, 24.883320000000026]"
